what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1330045163505
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330045168413
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330045264728
started,bundle,org.eclipse.dltk.ruby.core,3.0.0.v20110423,"org.eclipse.dltk.ruby.core",1330045267614
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330045268246
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330045272105
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1330045283750
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1330045286842
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1330045291245
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1330045297251
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330045326864
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330045328092
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1330045339911
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1330045349953
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330045355006
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330045443311
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1330045443352
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330045445094
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330045448483
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330045467500
started,bundle,org.eclipse.dltk.core.manipulation,3.0.0.v20110609-1525,"org.eclipse.dltk.core.manipulation",1330045468990
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1330045469137
started,bundle,org.eclipse.wst.jsdt.core,1.1.101.v201108151912,"org.eclipse.wst.jsdt.core",1330045469303
started,bundle,org.eclipse.wst.jsdt.ui,1.1.101.v201108151912,"org.eclipse.wst.jsdt.ui",1330045469372
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330045470056
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1330045470106
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1330045470106
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1330045470155
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330045474511
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1330045496581
started,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1330045616444
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330045658733
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330045665404
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330045666840
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330045668896
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330045716099
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1330045716237
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1330045716290
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330045746533
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1330045890817
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330045998384
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1330045998423
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1330046015280
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330046018832
error,log,,,"(Build 3.0.0.1313451701) [ERROR]  Launch configuration TCPClient (1) at file:/Users/jon/vbSharedFolder/ClientServer/.metadata/.plugins/org.eclipse.debug.core/.launches/TCPClient%20(1).launch does not exist.",1330046050295
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330046053453
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330046068475
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330046070433
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330046073162
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330046123142
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1330046125751
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330046128104
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330046225228
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1330046230877
